Date,Id,Term,Company,Rate,MaxLTV
30/06/2019,,2yr,Bank of Ireland UK,1.87,75
30/06/2019,,2yr,Barclays Mortgage,1.63,75
30/06/2019,,2yr,Clydesdale Bank,1.84,75
30/06/2019,,2yr,Coventry BS,1.69,75
30/06/2019,,2yr,HSBC,1.64,75
30/06/2019,,2yr,Leeds BS,1.79,75
30/06/2019,,2yr,Metro Bank,2.09,75
30/06/2019,,2yr,NatWest,1.6,75
30/06/2019,,2yr,Newcastle BS,2.05,75
30/06/2019,,2yr,Nottingham BS,1.6,75
30/06/2019,,2yr,Principality BS,1.75,75
30/06/2019,,2yr,Royal Bank of Scotland,1.6,75
30/06/2019,,2yr,Santander,1.74,75
30/06/2019,,2yr,Skipton BS,1.88,75
30/06/2019,,2yr,Virgin Money,1.93,75
30/06/2019,,2yr,Yorkshire Bank,1.99,75
30/06/2019,,2yr,Yorkshire Building Society,1.7,75
30/06/2019,,5yr,Bank of Ireland UK,2.45,75
30/06/2019,,5yr,Barclays Mortgage,2.05,75
30/06/2019,,5yr,Clydesdale Bank,2.29,75
30/06/2019,,5yr,Coventry BS,2.09,75
30/06/2019,,5yr,HSBC,2.09,75
30/06/2019,,5yr,Leeds BS,2.15,75
30/06/2019,,5yr,Metro Bank,2.34,75
30/06/2019,,5yr,NatWest,2.04,75
30/06/2019,,5yr,Newcastle BS,2.75,75
30/06/2019,,5yr,Nottingham BS,2.1,75
30/06/2019,,5yr,Principality BS,2.15,75
30/06/2019,,5yr,Royal Bank of Scotland,2.08,75
30/06/2019,,5yr,Santander,2.09,75
30/06/2019,,5yr,Skipton BS,2.09,75
30/06/2019,,5yr,Virgin Money,2.18,75
30/06/2019,,5yr,Yorkshire Bank,2.49,75
30/06/2019,,5yr,Yorkshire Building Society,2,75
31/07/2019,,2yr,Bank of Ireland UK,1.56,75
31/07/2019,,2yr,Barclays Mortgage,1.48,75
31/07/2019,,2yr,Clydesdale Bank,1.64,75
31/07/2019,,2yr,Coventry BS,1.65,75
31/07/2019,,2yr,HSBC,1.49,75
31/07/2019,,2yr,Leeds BS,1.62,75
31/07/2019,,2yr,Metro Bank,2.09,75
31/07/2019,,2yr,NatWest,1.46,75
31/07/2019,,2yr,Newcastle BS,2.05,75
31/07/2019,,2yr,Nottingham BS,1.6,75
31/07/2019,,2yr,Principality BS,1.65,75
31/07/2019,,2yr,Royal Bank of Scotland,1.46,75
31/07/2019,,2yr,Santander,1.49,75
31/07/2019,,2yr,Skipton BS,1.77,75
31/07/2019,,2yr,Virgin Money,1.75,75
31/07/2019,,2yr,Yorkshire Bank,1.79,75
31/07/2019,,2yr,Yorkshire Building Society,1.57,75
31/07/2019,,5yr,Bank of Ireland UK,2.12,75
31/07/2019,,5yr,Barclays Mortgage,2.05,75
31/07/2019,,5yr,Clydesdale Bank,2.29,75
31/07/2019,,5yr,Coventry BS,2.15,75
31/07/2019,,5yr,HSBC,1.99,75
31/07/2019,,5yr,Leeds BS,2.2,75
31/07/2019,,5yr,Metro Bank,2.34,75
31/07/2019,,5yr,NatWest,1.98,75
31/07/2019,,5yr,Newcastle BS,2.7,75
31/07/2019,,5yr,Nottingham BS,2.1,75
31/07/2019,,5yr,Principality BS,2.15,75
31/07/2019,,5yr,Royal Bank of Scotland,2.04,75
31/07/2019,,5yr,Santander,2.19,75
31/07/2019,,5yr,Skipton BS,2.14,75
31/07/2019,,5yr,Virgin Money,2.28,75
31/07/2019,,5yr,Yorkshire Bank,2.49,75
31/07/2019,,5yr,Yorkshire Building Society,2,75
31/08/2019,,2yr,Bank of Ireland UK,1.56,75
31/08/2019,,2yr,Barclays Mortgage,1.39,75
31/08/2019,,2yr,Clydesdale Bank,1.59,75
31/08/2019,,2yr,Coventry BS,1.65,75
31/08/2019,,2yr,HSBC,1.44,75
31/08/2019,,2yr,Leeds BS,1.62,75
31/08/2019,,2yr,Metro Bank,2.09,75
31/08/2019,,2yr,NatWest,1.39,75
31/08/2019,,2yr,Newcastle BS,2.05,75
31/08/2019,,2yr,Nottingham BS,1.6,75
31/08/2019,,2yr,Principality BS,1.81,75
31/08/2019,,2yr,Royal Bank of Scotland,1.39,75
31/08/2019,,2yr,Santander,1.39,75
31/08/2019,,2yr,Skipton BS,1.69,75
31/08/2019,,2yr,Virgin Money,1.75,75
31/08/2019,,2yr,Yorkshire Bank,1.79,75
31/08/2019,,2yr,Yorkshire Building Society,1.57,75
31/08/2019,,5yr,Bank of Ireland UK,2.12,75
31/08/2019,,5yr,Barclays Mortgage,1.93,75
31/08/2019,,5yr,Clydesdale Bank,2.29,75
31/08/2019,,5yr,Coventry BS,2.05,75
31/08/2019,,5yr,HSBC,1.94,75
31/08/2019,,5yr,Leeds BS,2.2,75
31/08/2019,,5yr,Metro Bank,2.34,75
31/08/2019,,5yr,NatWest,1.97,75
31/08/2019,,5yr,Newcastle BS,2.7,75
31/08/2019,,5yr,Nottingham BS,2.1,75
31/08/2019,,5yr,Principality BS,2.13,75
31/08/2019,,5yr,Royal Bank of Scotland,1.97,75
31/08/2019,,5yr,Santander,1.95,75
31/08/2019,,5yr,Skipton BS,2.14,75
31/08/2019,,5yr,Virgin Money,2.31,75
31/08/2019,,5yr,Yorkshire Bank,2.49,75
31/08/2019,,5yr,Yorkshire Building Society,2,75
30/09/2019,,2yr,Bank of Ireland UK,1.56,75
30/09/2019,,2yr,Barclays Mortgage,1.35,75
30/09/2019,,2yr,Clydesdale Bank,1.59,75
30/09/2019,,2yr,Coventry BS,1.59,75
30/09/2019,,2yr,HSBC,1.29,75
30/09/2019,,2yr,Leeds BS,1.62,75
30/09/2019,,2yr,Metro Bank,2.09,75
30/09/2019,,2yr,NatWest,1.25,75
30/09/2019,,2yr,Newcastle BS,2.05,75
30/09/2019,,2yr,Nottingham BS,1.6,75
30/09/2019,,2yr,Principality BS,1.71,75
30/09/2019,,2yr,Royal Bank of Scotland,1.25,75
30/09/2019,,2yr,Santander,1.39,75
30/09/2019,,2yr,Skipton BS,1.69,75
30/09/2019,,2yr,Virgin Money,1.75,75
30/09/2019,,2yr,Yorkshire Bank,1.79,75
30/09/2019,,2yr,Yorkshire Building Society,1.52,75
30/09/2019,,5yr,Bank of Ireland UK,1.98,75
30/09/2019,,5yr,Barclays Mortgage,1.83,75
30/09/2019,,5yr,Clydesdale Bank,1.94,75
30/09/2019,,5yr,Coventry BS,1.95,75
30/09/2019,,5yr,HSBC,1.84,75
30/09/2019,,5yr,Leeds BS,2.04,75
30/09/2019,,5yr,Metro Bank,2.34,75
30/09/2019,,5yr,NatWest,1.79,75
30/09/2019,,5yr,Newcastle BS,2.7,75
30/09/2019,,5yr,Nottingham BS,2.1,75
30/09/2019,,5yr,Principality BS,1.99,75
30/09/2019,,5yr,Royal Bank of Scotland,1.85,75
30/09/2019,,5yr,Santander,1.95,75
30/09/2019,,5yr,Skipton BS,2.04,75
30/09/2019,,5yr,Virgin Money,2,75
30/09/2019,,5yr,Yorkshire Bank,2.49,75
30/09/2019,,5yr,Yorkshire Building Society,1.91,75
31/10/2019,,2yr,Bank of Ireland UK,1.56,75
31/10/2019,,2yr,Barclays Mortgage,1.35,75
31/10/2019,,2yr,Clydesdale Bank,1.54,75
31/10/2019,,2yr,Coventry BS,1.49,75
31/10/2019,,2yr,HSBC,1.29,75
31/10/2019,,2yr,Leeds BS,1.62,75
31/10/2019,,2yr,Metro Bank,2.09,75
31/10/2019,,2yr,NatWest,1.25,75
31/10/2019,,2yr,Newcastle BS,1.99,75
31/10/2019,,2yr,Nottingham BS,1.54,75
31/10/2019,,2yr,Principality BS,1.71,75
31/10/2019,,2yr,Royal Bank of Scotland,1.25,75
31/10/2019,,2yr,Santander,1.39,75
31/10/2019,,2yr,Skipton BS,1.59,75
